Word,third_singular,Present_Participle,Simple_Past,Past_Participle
'ave,'as,'avin','ad,'ad
're,,,,
abandon,abandons,abandoning,abandoned,abandoned
abolish,abolishes,abolishing,abolished,abolished
absorb,absorbs,absorbing,absorbed,absorbed
accelerate,accelerates,accelerating,accelerated,accelerated
accept,accepts,accepting,accepted,accepted
access,accesses,accessing,accessed,accessed
accommodate,accommodates,accommodating,accommodated,accommodated
accompany,accompanies,accompanying,accompanied,accompanied
account,accounts,accounting,accounted,accounted
accumulate,accumulates,accumulating,accumulated,accumulated
accuse,accuses,accusing,accused,accused
achieve,achieves,achieving,achieved,achieved
acknowledge,acknowledges,acknowledging,acknowledged,acknowledged
acquire,acquires,acquiring,acquired,acquired
act,acts,acting,acted,acted
adapt,adapts,adapting,adapted,adapted
add,adds,adding,added,added
address,addresses,addressing,addressed,addressed
adhere,adheres,adhering,adhered,adhered
adjust,adjusts,adjusting,adjusted,adjusted
administer,administers,administering,administered,administered
admire,admires,admiring,admired,admired
admit,admits,admitting,admitted,admitted
adopt,adopts,adopting,adopted,adopted
advance,advances,advancing,advanced,advanced
advertise,advertises,advertising,advertised,advertised
advise,advises,advising,advised,advised
affect,affects,affecting,affected,affected
afford,affords,affording,afforded,afforded
agree,agrees,agreeing,agreed,agreed
aid,aids,aiding,aided,aided
aim,aims,aiming,aimed,aimed
alert,alerts,alerting,alerted,alerted
alleviate,alleviates,alleviating,alleviated,alleviated
allocate,allocates,allocating,allocated,allocated
allow,allows,allowing,allowed,allowed
alter,alters,altering,altered,altered
amend,amends,amending,amended,amended
amount,amounts,amounting,amounted,amounted
analyse,analyses,analysing,analysed,analysed
anger,angers,angering,angered,angered
announce,announces,announcing,announced,announced
answer,answers,answering,answered,answered
anticipate,anticipates,anticipating,anticipated,anticipated
apologise,apologises,apologising,apologised,apologised
appeal,appeals,appealing,appealed,appealed
appear,appears,appearing,appeared,appeared
apply,applies,applying,applied,applied
appoint,appoints,appointing,appointed,appointed
appreciate,appreciates,appreciating,appreciated,appreciated
approach,approaches,approaching,approached,approached
approve,approves,approving,approved,approved
argue,argues,arguing,argued,argued
arise,arises,arising,arose,arisen
arrange,arranges,arranging,arranged,arranged
arrest,arrests,arresting,arrested,arrested
arrive,arrives,arriving,arrived,arrived
ascertain,ascertains,ascertaining,ascertained,ascertained
ask,asks,asking,asked,asked
assemble,assembles,assembling,assembled,assembled
assert,asserts,asserting,asserted,asserted
assess,assesses,assessing,assessed,assessed
assign,assigns,assigning,assigned,assigned
assist,assists,assisting,assisted,assisted
associate,associates,associating,associated,associated
assume,assumes,assuming,assumed,assumed
assure,assures,assuring,assured,assured
attach,attaches,attaching,attached,attached
attack,attacks,attacking,attacked,attacked
attain,attains,attaining,attained,attained
attempt,attempts,attempting,attempted,attempted
attend,attends,attending,attended,attended
attract,attracts,attracting,attracted,attracted
attribute,attributes,attributing,attributed,attributed
avoid,avoids,avoiding,avoided,avoided
await,awaits,awaiting,awaited,awaited
award,awards,awarding,awarded,awarded
back,backs,backing,backed,backed
bake,bakes,baking,baked,baked
balance,balances,balancing,balanced,balanced
ban,bans,banning,banned,banned
bang,bangs,banging,banged,banged
base,bases,basing,based,based
be,,,,
bear,bears,bearing,beared,beared
beat,beats,beating,beat,beaten
become,becomes,becoming,became,become
beg,begs,begging,begged,begged
begin,begins,beginning,began,begun
behave,behaves,behaving,behaved,behaved
believe,believes,believing,believed,believed
belong,belongs,belonging,belonged,belonged
bend,bends,bending,bent,bent
benefit,benefits,benefiting,benefited,benefited
bet,bets,betting,bet,bet
beware,,,,
bid,bids,bidding,bid,bid
bind,binds,binding,bound,bound
bite,bites,biting,bit,bitten
blame,blames,blaming,blamed,blamed
blend,blends,blending,blended,blended
bless,blesses,blessing,blest,blest
block,blocks,blocking,blocked,blocked
blow,blows,blowing,blew,blown
board,boards,boarding,boarded,boarded
